,airmass_relative,airmass_absolute,ghi,dni,dhi,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,sunrise,sunset,transit
2022-10-05 17:00:00+05:00,27.73801271063535,25.315971621274738,0.37511526784751065,4.394029945235885,0.3103715732666802,89.15574660726723,89.53892115018347,0.8442533927327739,0.4610788498165249,96.71876471488133,11.579915927053662,2022-10-06 16:53:51.783319+05:00,2022-10-06 04:28:48.934132+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 18:00:00+05:00,4.804560722015404,4.3850337859495205,128.69966631752243,439.0924497594148,39.30041194482364,78.25243914099394,78.32338635752264,11.747560859006057,11.676613642477369,106.67515382164243,11.592463244909595,2022-10-06 16:53:51.785057+05:00,2022-10-06 04:28:48.938619+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 19:00:00+05:00,2.6183352480762174,2.3897061958539485,326.0932042972466,681.0592740914325,67.42324347201753,67.67837344574231,67.7153943757379,22.321626554257694,22.284605624262102,117.71009134539719,11.60500019549363,2022-10-06 16:53:51.786768+05:00,2022-10-06 04:28:48.943137+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 20:00:00+05:00,1.8934795825392765,1.728143824761031,500.6362962679339,787.7511326765224,85.64400107416668,58.21007468372608,58.234767156682054,31.78992531627392,31.765232843317946,130.7170552700066,11.617526751222613,2022-10-06 16:53:51.788468+05:00,2022-10-06 04:28:48.947680+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 21:00:00+05:00,1.57413813527208,1.43668678705431,630.3503711348403,839.9127259915614,97.60423268913178,50.632840733877224,50.65153735916776,39.367159266122776,39.34846264083224,146.59873177258316,11.63004288484808,2022-10-06 16:53:51.790152+05:00,2022-10-06 04:28:48.952244+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 22:00:00+05:00,1.4374380767145474,1.3119231697335139,703.881175896725,863.284188006261,104.03175776663443,45.985066874181726,46.00095604323672,44.014933125818274,43.99904395676328,165.67507474809383,11.642548568990605,2022-10-06 16:53:51.791827+05:00,2022-10-06 04:28:48.956818+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 23:00:00+05:00,1.4181613673522215,1.2943296733190757,715.4098999604189,866.6318141660977,105.02168887270489,45.2251711595098,45.2406458522194,44.7748288404902,44.7593541477806,186.6201780815141,11.655043775994272,2022-10-06 16:53:51.793496+05:00,2022-10-06 04:28:48.961397+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 00:00:00+05:00,1.508363707058699,1.3766556818909226,665.5484940593811,855.0464166724113,99.45742737843591,48.542916214909816,48.56028776771188,41.457083785090184,41.43971223228812,206.6383256947654,11.667528478479653,2022-10-06 16:53:51.795160+05:00,2022-10-06 04:28:48.965969+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 01:00:00+05:00,1.7479303599191527,1.595303738926877,555.1586718027553,815.4188917470669,89.60378236483143,55.184231035681414,55.20626242405896,34.815768964318586,34.79373757594104,223.707019021514,11.680002649016387,2022-10-06 16:53:51.796836+05:00,2022-10-06 04:28:48.970527+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 02:00:00+05:00,2.2781641723658104,2.0792383411845607,394.93033503707045,734.1198387982189,73.96644874692015,64.07405306998183,64.10542735132111,25.925946930018178,25.894572648678885,237.65936058153514,11.692466259737557,2022-10-06 16:53:51.798524+05:00,2022-10-06 04:28:48.975062+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 03:00:00+05:00,3.657585415642067,3.3382106191508054,201.44894186566768,558.6002054507909,50.554671484425086,74.3280401917253,74.38153588305445,15.671959808274703,15.618464116945551,249.2907634794949,11.704919283176423,2022-10-06 16:53:51.800229+05:00,2022-10-06 04:28:48.979570+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 04:00:00+05:00,10.799139307485712,9.856174885148747,22.754234607505637,135.75096559656248,11.581687064273632,85.27911493604249,85.43593958800038,4.720885063957505,4.5640604119996215,259.52527162691683,11.717361691844417,2022-10-06 16:53:51.801951+05:00,2022-10-06 04:28:48.984037+05:00,2022-10-06 22:40:51.352054+05:00
